Challenge,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
1,"A recurrent problem is the level of students knowledge that they come when they start the discipline.

The lack of proficiency of some students in some criteria of this ends up making this practice difficult.

For those who are from infrastructure and are only used to accessing the server, building it with a tool like Maven, for example, can be a challenge for them.

Some people take a network course they know when IP addresses. Some people don't know what an IP address is.

Many students, even master's students who are going through this kind of a program are probably, are we missing one or two frames of reference? A lot of students come through approaching this from the software engineering side of the house. They're learning how to build applications and that sort of thing. They have no real experience on operations and simply standing up infrastructure in the cloud is not operations, right? It's an aspect of operations. It's important piece of operations, but it's not everything you don't necessarily have people with the expertise in network design capacity plan, security, identity management","Insufficient knowledge level of students to start the course.

Students' previous lack of knowledge makes learning difficult.

It is challenging for students with an operating background to carry out software development activities, such as generating a build with the maven tool.

Students who came from the area of ​​software engineering lack experience in operational activities.

Some students don't know network concepts.",Insufficient knowledge level of students to start the course.,insufficient knowledge of students,curriculum,no,5,knowledge; level; background; experience; history; skill; technique; curriculum; syllabus,"A recurrent problem is the level of students knowledge that they come when they start the discipline.

The lack of proficiency of some students in some criteria of this ends up making this practice difficult.

For those who are from infrastructure and are only used to accessing the server, building it with a tool like Maven, for example, can be a challenge for them.

Some people take a network course they know when IP addresses. Some people don't know what an IP address is.

Many students, even master's students who are going through this kind of a program are probably, are we missing one or two frames of reference? A lot of students come through approaching this from the software engineering side of the house. They're learning how to build applications and that sort of thing. They have no real experience on operations and simply standing up infrastructure in the cloud is not operations, right? It's an aspect of operations. It's important piece of operations, but it's not everything you don't necessarily have people with the expertise in network design capacity plan, security, identity management Insufficient knowledge level of students to start the course.

Students' previous lack of knowledge makes learning difficult.

It is challenging for students with an operating background to carry out software development activities, such as generating a build with the maven tool.

Students who came from the area of ​​software engineering lack experience in operational activities.

Some students don't know network concepts. Insufficient knowledge level of students to start the course. knowledge; level; background; experience; history; skill; technique; curriculum; syllabus"
2,"To configure a environment needed to start.

I had difficulty setting up the infrastructure.

If you want a kind of hybrid discipline, in which you have the theory and applied practice, then the challenge will be different, then it ranges from having an environment for it to structuring the environment, or thinking about something like that, to making a virtual machine available.

We've tried to let the students, uh, deal with the setup and, uh, install everything on their computer with Dockerizing stuff and scan things. And that was yet another disaster because then it's not reproducible and it works on their computer, but then it's really complicated to make it work on the TA.","Difficulty configuring and setting up the infrastructure needed to run DevOps experiments.

Difficulty in setting up the infrastructure.

Be concerned about the infrastructure used in the student's environment.

If you let the students deal with the environment setup on their computers, it will become not reproducible and complicated to make it work even with the teacher assistant.",Setting up the infrastructure is difficulty.,Difficulty in setting up the environment,environment setup,yes,3,configuration; environment; setup; infrastructure,"To configure a environment needed to start.

I had difficulty setting up the infrastructure.

If you want a kind of hybrid discipline, in which you have the theory and applied practice, then the challenge will be different, then it ranges from having an environment for it to structuring the environment, or thinking about something like that, to making a virtual machine available.

We've tried to let the students, uh, deal with the setup and, uh, install everything on their computer with Dockerizing stuff and scan things. And that was yet another disaster because then it's not reproducible and it works on their computer, but then it's really complicated to make it work on the TA. Difficulty configuring and setting up the infrastructure needed to run DevOps experiments.

Difficulty in setting up the infrastructure.

Be concerned about the infrastructure used in the student's environment.

If you let the students deal with the environment setup on their computers, it will become not reproducible and complicated to make it work even with the teacher assistant. Setting up the infrastructure is difficulty. configuration; environment; setup; infrastructure"
3,"In many times, a professor would need computational resources to teach specific concepts [...] to configure real scenarios as much as possible.

Many times, you do not have access to computer resources to set up scenarios that you can actually teach labs or do, there, labs for students to learn.

Student machine capacity restriction.

We depend on the internet, I will give you a straightforward example, you will use the virtual machine, no matter how much you use Vagrant, for example, it needs to download a base image. And depending on the student's location, it takes two minutes and up to two hours.

If you're the things and they've launch, you know, Docker and Jenkins, that's it or JDK, that's it. There's no memory left. Um, so is the environment set up is hard. ","Few computational resources for setting up scenarios close to real ones.

Lack of computer resources for teaching the class.

Students may have learning difficulties due to their machine's capacity constraints.

Students may have limited internet access. It difficults activities such as downloading OS images to virtual machines.

Local environment set up is hard because it needs lots of hardware.",Limited computional resources.,lack of computing resources,environment setup,no,3,hardware; resource; environment; setup,"In many times, a professor would need computational resources to teach specific concepts [...] to configure real scenarios as much as possible.

Many times, you do not have access to computer resources to set up scenarios that you can actually teach labs or do, there, labs for students to learn.

Student machine capacity restriction.

We depend on the internet, I will give you a straightforward example, you will use the virtual machine, no matter how much you use Vagrant, for example, it needs to download a base image. And depending on the student's location, it takes two minutes and up to two hours.

If you're the things and they've launch, you know, Docker and Jenkins, that's it or JDK, that's it. There's no memory left. Um, so is the environment set up is hard.  Few computational resources for setting up scenarios close to real ones.

Lack of computer resources for teaching the class.

Students may have learning difficulties due to their machine's capacity constraints.

Students may have limited internet access. It difficults activities such as downloading OS images to virtual machines.

Local environment set up is hard because it needs lots of hardware. Limited computional resources. hardware; resource; environment; setup"
4,"Some datasets as Azure from Microsoft, which the federal institute has a partnership has limited trial time to test, and it is necessary to have a credit card and other related things which sometimes the students do not have.

There is no account, like, the teacher that he can make available, and there are resources for what students learn to set up these scenarios, right? Neither a local datacenter nor one of these commercials, many times it is not, it does not have all the possibilities you could use, at least not, without being linked to an agreement or something like that.

If you are going to make this CI in the cloud commercially, you will have to pay. It is not free. Free here just for us to play, right? However, if you want to put your company's system to do, I don't know how many integrations per week, you will have to pay for it.

Mean, captive of their platform and you also have to sign with your blood and agreements that you're doing it for academic purposes and those kind of things, because IBM can be quite aggressive with their partnership, um, policies. So except that I had to sign something that was a little bit too much from my perspective, this kind of tooling was good.","Even through educational partnerships, using private cloud providers by students could be limited.

In public clouds, teacher use of student resource management is not widely available.

Using cloud services more professionally requires payment at a commercial level.

Cloud providers can have aggressive policies in the agreements for academic purposes.",Cloud providers usage has limits.,Difficulty in using internet Cloud services,environment setup,no,3,cloud; environment; setup,"Some datasets as Azure from Microsoft, which the federal institute has a partnership has limited trial time to test, and it is necessary to have a credit card and other related things which sometimes the students do not have.

There is no account, like, the teacher that he can make available, and there are resources for what students learn to set up these scenarios, right? Neither a local datacenter nor one of these commercials, many times it is not, it does not have all the possibilities you could use, at least not, without being linked to an agreement or something like that.

If you are going to make this CI in the cloud commercially, you will have to pay. It is not free. Free here just for us to play, right? However, if you want to put your company's system to do, I don't know how many integrations per week, you will have to pay for it.

Mean, captive of their platform and you also have to sign with your blood and agreements that you're doing it for academic purposes and those kind of things, because IBM can be quite aggressive with their partnership, um, policies. So except that I had to sign something that was a little bit too much from my perspective, this kind of tooling was good. Even through educational partnerships, using private cloud providers by students could be limited.

In public clouds, teacher use of student resource management is not widely available.

Using cloud services more professionally requires payment at a commercial level.

Cloud providers can have aggressive policies in the agreements for academic purposes. Cloud providers usage has limits. cloud; environment; setup"
6,"There is no accepted taxonomy of what the concepts of DevOps are.

There's a lack of frame of reference on even what operations is. Most people get into operations, at least in my experience sort of accidentally.

 How to express concept, formalize them. But at the same time also focus on those issues that are getting in the way, the non-industrial way of, you know, writing scripts that if you want to industrialize them and they become Bulletproof, it's a mess, right? It's difficult.","There is no taxonomy about what are the main DevOps concepts.

There's a lack of reference on operations concepts.

It is difficult to express and formalize DevOps concepts. There is not bulletproof in devops.",There is no convention about DevOps concepts.,Lack of taxonomy of DevOps concepts,devops concepts,yes,3,taxonomy; concept; theory,"There is no accepted taxonomy of what the concepts of DevOps are.

There's a lack of frame of reference on even what operations is. Most people get into operations, at least in my experience sort of accidentally.

 How to express concept, formalize them. But at the same time also focus on those issues that are getting in the way, the non-industrial way of, you know, writing scripts that if you want to industrialize them and they become Bulletproof, it's a mess, right? It's difficult. There is no taxonomy about what are the main DevOps concepts.

There's a lack of reference on operations concepts.

It is difficult to express and formalize DevOps concepts. There is not bulletproof in devops. There is no convention about DevOps concepts. taxonomy; concept; theory"
7,I don't know any specific teaching devops tool.,Unknown specific devops educational supportive environment.,,Lack of specific tool for DevOps teaching,tool / technology,yes,1,tool; environment; technology,I don't know any specific teaching devops tool. Unknown specific devops educational supportive environment.  tool; environment; technology
8,"We sometimes want to teach everything and we don't have infinite time[...] to fit the knowledge of DevOps, which is very broad knowledge and involves at least two distinct areas[...]

Making it fit was more difficult because sometimes the content is too long and time is limited.

The challenge in this aspect refers to [..] the issue of laboratories [...], but you always end up as a matter of time versus class development.

When I taught the DevOps course in my master's, it was DevOps from beginning to end, right? So I had to decide everything that was going to go into the content. There is a lot that was left out.

This area of ​​DevOps is gigantic too. So training is limited there. It is a forty-hour training, right?

My biggest challenge is that my course should be two semesters because it's just too much stuff to fit in one semester. [...] the challenge there is I had to put together a curriculum that had, um, a little bit about everything. [...] So it's challenging fitting all that stuff into one semester.

   There's lots and lots of information, which is why I give them lots of support during the week on slack. Um, but there's lots of information to cover. And because it's so challenging, I don't get to cover a lot of once you deploy it, how do you monitor it? Uh, right. And, and, and how do you, how do you, you know, go through the logs? And I mean, we do a little bit of looking at the logs when we deploy it to figure out if it's working, but I don't do a lot of the ops side of DevOps.

And in terms of operation, a lot of the stuff that we tend to do at university tends to be fairly small because there's just realistic time constraints for how much people can get done in a week or two, or even in a term or a semester. ...  that I've found is a little bit of misconception or at least prejudice around what devops actually is.

Because in though in the ops part, and this is the stuff I typically don't have as much time for simply because I know most of the students are coming from the software development side of the house.

That's exactly. That's a lot for one semester.

I introduced the concept of them speaking about continuous integration, continuous, and delivery and continuous deployment. But, uh, in, in practice doing the remaining stage in the lab is very challenging because we don't have enough time because it's three months.","Insufficient time to address extensive DevOps knowledge in a limited-hour curriculum.

Insufficient time to address extensive DevOps knowledge in a limited-hour curriculum.

Limitation of the development of laboratory practices in class due to the short time.

There is a limited amount of time to teach the devops content.

Lots of DevOps content to teach with little time available (40 hours).

DevOps has too much contents and it's hard to fit it in a semester.

No time to teach operations side.

Realistic time constraints prejudice around what devops actually is.

In devops course with dev and ops together, ops part are not touched because dev parts take a lot of time.

One semester is insufficient time to teach DevOps.

Labs of continuous integration and continous delivery are challeging because there is not enough time in three months.",Insufficient time in the course to teach DevOps.,Limited time on teaching DevOps,curriculum,yes,8,time; content; curriculum; syllabus; schedule,"We sometimes want to teach everything and we don't have infinite time[...] to fit the knowledge of DevOps, which is very broad knowledge and involves at least two distinct areas[...]

Making it fit was more difficult because sometimes the content is too long and time is limited.

The challenge in this aspect refers to [..] the issue of laboratories [...], but you always end up as a matter of time versus class development.

When I taught the DevOps course in my master's, it was DevOps from beginning to end, right? So I had to decide everything that was going to go into the content. There is a lot that was left out.

This area of ​​DevOps is gigantic too. So training is limited there. It is a forty-hour training, right?

My biggest challenge is that my course should be two semesters because it's just too much stuff to fit in one semester. [...] the challenge there is I had to put together a curriculum that had, um, a little bit about everything. [...] So it's challenging fitting all that stuff into one semester.

   There's lots and lots of information, which is why I give them lots of support during the week on slack. Um, but there's lots of information to cover. And because it's so challenging, I don't get to cover a lot of once you deploy it, how do you monitor it? Uh, right. And, and, and how do you, how do you, you know, go through the logs? And I mean, we do a little bit of looking at the logs when we deploy it to figure out if it's working, but I don't do a lot of the ops side of DevOps.

And in terms of operation, a lot of the stuff that we tend to do at university tends to be fairly small because there's just realistic time constraints for how much people can get done in a week or two, or even in a term or a semester. ...  that I've found is a little bit of misconception or at least prejudice around what devops actually is.

Because in though in the ops part, and this is the stuff I typically don't have as much time for simply because I know most of the students are coming from the software development side of the house.

That's exactly. That's a lot for one semester.

I introduced the concept of them speaking about continuous integration, continuous, and delivery and continuous deployment. But, uh, in, in practice doing the remaining stage in the lab is very challenging because we don't have enough time because it's three months. Insufficient time to address extensive DevOps knowledge in a limited-hour curriculum.

Insufficient time to address extensive DevOps knowledge in a limited-hour curriculum.

Limitation of the development of laboratory practices in class due to the short time.

There is a limited amount of time to teach the devops content.

Lots of DevOps content to teach with little time available (40 hours).

DevOps has too much contents and it's hard to fit it in a semester.

No time to teach operations side.

Realistic time constraints prejudice around what devops actually is.

In devops course with dev and ops together, ops part are not touched because dev parts take a lot of time.

One semester is insufficient time to teach DevOps.

Labs of continuous integration and continous delivery are challeging because there is not enough time in three months. Insufficient time in the course to teach DevOps. time; content; curriculum; syllabus; schedule"
9,"[...] I couldn't set up a DevOps environment due to restrictions even with administrative authorization.

 That simply wasn't a possibility and computer labs are not equipped for that sort of a thing because of necessity. Universities have to lock down their software and hardware to keep really bad things from happening.

You have the machines where you deploy to. Um, and quite often the students are in the same classroom on the wifi of the universities or the under the sub network, but the ports are not open [...] you need a lot of machines interconnected, um, with visibility on each other that they can get to. And that's hard in a, in a, in a classroom environment this year I had 78 students.

All of those challenges are basically how do you rebuild an enterprise environment into a university environment that is much more restrictive and doesn't have enough machines for them. Usually that's a real challenge.","Difficulty in getting authorization and lab resources from the institution to install tools in order to setup a DevOps environment.

University labs have restrictions on installing tools.

The academy has network limitations to create near-real infrastructure.

It is difficult to build an enterprise environment into a university environment that is much more restrictive and doesn't have enough machines for them.",Institutions' resources have limits.,Difficulty during institution's resources authorization.,environment setup,yes,3,university; academy; institution; restriction; limitation; environment; setup,"[...] I couldn't set up a DevOps environment due to restrictions even with administrative authorization.

 That simply wasn't a possibility and computer labs are not equipped for that sort of a thing because of necessity. Universities have to lock down their software and hardware to keep really bad things from happening.

You have the machines where you deploy to. Um, and quite often the students are in the same classroom on the wifi of the universities or the under the sub network, but the ports are not open [...] you need a lot of machines interconnected, um, with visibility on each other that they can get to. And that's hard in a, in a, in a classroom environment this year I had 78 students.

All of those challenges are basically how do you rebuild an enterprise environment into a university environment that is much more restrictive and doesn't have enough machines for them. Usually that's a real challenge. Difficulty in getting authorization and lab resources from the institution to install tools in order to setup a DevOps environment.

University labs have restrictions on installing tools.

The academy has network limitations to create near-real infrastructure.

It is difficult to build an enterprise environment into a university environment that is much more restrictive and doesn't have enough machines for them. Institutions' resources have limits. university; academy; institution; restriction; limitation; environment; setup"
10,"
There wasn't a tool to configure the environment [...] or to automate these environments then [..] since it became manual.",There was no automated environment setup tool to support the student.,,No automated environment configuration tool.,environment setup,yes,1,automation; environment; technology; setup,"
There wasn't a tool to configure the environment [...] or to automate these environments then [..] since it became manual. There was no automated environment setup tool to support the student.  automation; environment; technology; setup"
11,"There wasn't a set of [...] scripts that the student should configure this environment himself, install the tool himself [...] whatever the servers he needed.",There was no script for the student on how to install the tools used during the course.,,Lack of tools installation script.,environment setup,yes,1,script; tutorial; installation; configuration; environment; setup,"There wasn't a set of [...] scripts that the student should configure this environment himself, install the tool himself [...] whatever the servers he needed. There was no script for the student on how to install the tools used during the course.  script; tutorial; installation; configuration; environment; setup"
