Challenge,Interview,Interview Quotes,Abstracts
1,1,A recurrent problem is the level of students knowledge that they come when they start the discipline.,Insufficient knowledge level of students to start the course.
1,4,The lack of proficiency of some students in some criteria of this ends up making this practice difficult.,Students' previous lack of knowledge makes learning difficult.
1,5,"For those who are from infrastructure and are only used to accessing the server, building it with a tool like Maven, for example, can be a challenge for them.","It is challenging for students with an operating background to carry out software development activities, such as generating a build with the maven tool."
1,8,Some people take a network course they know when IP addresses. Some people don't know what an IP address is.,Students who came from the area of ​​software engineering lack experience in operational activities.
1,9,"Many students, even master's students who are going through this kind of a program are probably, are we missing one or two frames of reference? A lot of students come through approaching this from the software engineering side of the house. They're learning how to build applications and that sort of thing. They have no real experience on operations and simply standing up infrastructure in the cloud is not operations, right? It's an aspect of operations. It's important piece of operations, but it's not everything you don't necessarily have people with the expertise in network design capacity plan, security, identity management",Some students don't know network concepts.
2,1,"To configure a environment needed to start.

I had difficulty setting up the infrastructure.","Difficulty configuring and setting up the infrastructure needed to run DevOps experiments.

Difficulty in setting up the infrastructure."
2,7,"If you want a kind of hybrid discipline, in which you have the theory and applied practice, then the challenge will be different, then it ranges from having an environment for it to structuring the environment, or thinking about something like that, to making a virtual machine available.",Be concerned about the infrastructure used in the student's environment.
2,14,"We've tried to let the students, uh, deal with the setup and, uh, install everything on their computer with Dockerizing stuff and scan things. And that was yet another disaster because then it's not reproducible and it works on their computer, but then it's really complicated to make it work on the TA.","If you let the students deal with the environment setup on their computers, it will become not reproducible and complicated to make it work even with the teacher assistant."
3,1,"In many times, a professor would need computational resources to teach specific concepts [...] to configure real scenarios as much as possible.

Many times, you do not have access to computer resources to set up scenarios that you can actually teach labs or do, there, labs for students to learn.","Few computational resources for setting up scenarios close to real ones.

Lack of computer resources for teaching the class."
3,4,"Student machine capacity restriction.

We depend on the internet, I will give you a straightforward example, you will use the virtual machine, no matter how much you use Vagrant, for example, it needs to download a base image. And depending on the student's location, it takes two minutes and up to two hours.","Students may have learning difficulties due to their machine's capacity constraints.

Students may have limited internet access. It difficult activities such as downloading OS images to virtual machines."
3,10,"If you're the things and they've launch, you know, Docker and Jenkins, that's it or JDK, that's it. There's no memory left. Um, so is the environment set up is hard.",Local environment set up is hard because it needs lots of hardware.
