Challenge,Recommendation
1,13
1,11
1,21
1,37
1,121
2,1
2,2
2,12
2,19
2,52
2,80
2,98
2,54
2,136
2,138
2,141
2,180
2,181
3,1
3,2
3,12
3,36
3,44
3,180
3,181
4,12
4,2
4,98
4,25
4,180
4,126
6,4
6,41
6,32
6,96
6,97
6,137
7,7
7,8
7,191
7,15
8,11
8,10
8,16
8,20
8,87
8,49
8,82
8,90
8,105
8,2
8,25
8,54
8,80
8,98
8,44
8,38
8,121
8,143
8,172
8,141
9,2
9,12
9,1
9,25
9,36
9,180
9,181
10,8
10,52
10,80
10,98
10,45
10,136
10,138
10,141
10,180
10,181
11,52
11,80
11,98
11,54
11,136
11,138
11,141
11,180
12,4
12,10
12,15
12,24
12,78
12,176
12,177
13,22
13,23
13,14
13,37
13,53
13,69
13,88
13,110
13,158
14,9
14,15
14,21
14,14
14,19
14,25
14,52
14,104
14,37
14,75
14,112
14,113
14,154
14,180
14,193
14,156
15,5
15,9
15,15
15,18
15,21
15,109
15,86
15,63
15,184
15,200
16,25
16,54
16,75
16,80
16,148
16,126
16,140
17,52
17,191
17,175
19,21
19,112
19,113
19,53
22,8
22,25
22,2
22,45
22,59
22,60
22,70
22,71
22,83
22,108
22,7
22,19
22,77
22,85
22,91
22,94
22,23
22,35
22,36
22,90
22,140
22,142
22,126
25,97
25,9
25,104
25,33
25,37
25,46
25,106
25,112
25,113
25,196
25,162
26,41
26,34
26,97
26,68
26,30
26,67
26,96
26,9
26,104
26,106
27,46
27,2
27,36
27,54
27,57
27,62
27,74
27,106
27,21
27,139
28,5
28,17
28,86
28,95
28,63
28,109
28,159
28,166
28,184
28,200
29,23
29,39
29,68
29,81
29,88
29,11
29,20
29,29
29,87
29,111
29,121
29,143
29,151
29,130
29,196
30,104
30,13
30,30
30,34
30,29
30,49
30,192
30,193
30,147
30,128
31,105
31,13
31,171
32,49
32,21
32,37
32,43
32,55
32,63
32,120
32,160
32,128
33,43
33,46
33,2
33,36
33,54
33,57
33,62
33,74
33,106
33,21
34,72
35,39
35,67
35,10
35,106
35,153
36,61
36,43
36,46
37,52
37,54
37,2
37,80
37,98
37,15
37,19
37,35
37,193
38,15
38,19
38,25
38,35
38,91
38,94
38,93
38,108
38,30
38,123
38,124
38,125
38,127
38,161
38,198
38,191
39,72
39,79
39,24
39,146
40,76
40,72
40,171
41,105
41,78
41,171
42,19
42,91
42,94
42,90
42,55
42,122
42,140
42,155
42,126
43,54
43,52
43,72
43,12
43,136
43,138
43,141
43,180
44,13
44,24
44,78
44,82
44,176
44,177
45,24
45,78
46,110
46,24
46,78
46,82
46,13
47,63
47,5
47,86
47,95
47,109
47,200
48,92
48,13
48,112
48,113
48,53
48,9
48,103
48,196
48,139
49,109
49,5
49,18
49,133
50,111
50,49
50,92
50,105
50,145
50,147
50,190
51,196
51,145
52,49
52,97
52,151
52,30
53,180
53,1
53,2
53,12
53,170
54,36
54,44
54,70
54,75
54,124
54,2
54,136
54,181
54,122
55,2
55,52
55,80
55,98
55,138
55,141
55,180
55,181
55,15
55,25
55,35
55,85
55,155
56,41
56,97
56,196
56,21
56,114
56,115
56,128
56,156
56,113
57,5
57,17
57,63
57,200
57,159
58,175
58,130
58,114
58,56
59,2
59,52
59,98
59,180
59,9
59,54
59,152
59,177
60,32
60,41
60,96
60,97
60,137
60,39
61,85
61,41
62,144
63,78
63,13
63,187
64,17
64,63
64,86
64,95
64,200
64,21
65,53
66,33
66,37
66,53
66,187
66,121
66,143
66,151
67,2
67,52
67,80
67,136
67,138
67,141
67,180
68,175
68,114
69,32
69,148
69,53
69,187
70,25
70,35
70,93
70,140
70,91
70,94
71,15
71,146
71,171
71,111
72,13
72,24
72,54
72,78
72,82
72,105
72,176
72,177
72,187
73,109
73,114
73,63
73,95
74,116
74,36
74,138
74,79
75,116
75,117
75,132
75,156
75,183
75,51
75,53
75,80
75,79
76,54
76,147
76,165
76,187
76,9
76,30
76,33
76,37
76,43
76,46
76,106
76,117
76,120
76,132
76,148
76,53
76,113
76,186
76,126
77,23
77,27
77,81
77,41
77,137
77,20
77,111
78,153
78,41
78,37
79,170
80,52
80,30
80,43
81,187
81,197
81,91
81,94
81,23
82,126
83,109
83,19
83,35
83,17
83,63
84,17
84,63
84,159
84,200
84,131
84,133
85,32
85,96
85,185
85,69
85,15
86,2
86,52
86,180
86,191
86,175
86,156
87,83
87,60
87,179
87,140
90,199
90,16
