Recommendation,Interview Quotes,Abstracts,Main Idea,Code,Theme,Specific,Amount of Interviews,Tags,AllText
1,"Amazon sometimes has some agreements, which I think now that the Federal Institute is doing, that it makes this student accounts available that they could test it for a period.

Most of these tools have free layers, in the case of Cloud providers. All three of the main ones have an education-oriented version, and that is very good. This for the teacher is a very great facilitator.

I recommend [...] Moving all teaching to a cloud. [...] contact AWS. They have a student program, or Google, with Ali Baba, Azure, and IBM Cloud.

There were times when I combined a set of free services to be used, Heroku. I combined some free services to run these things. I already had a partnership to use closed [...] there is Red Hat Academy, right, where you can use OpenShift and everything else in the context of the effort you want to make. So, this kind of thing helps a lot.

They have a real experience with respect to Amazon, it's pretty simple, and you can get a free Amazon, you just have to register. ","Cloud service companies such as AWS, through a contract with an educational institution, can provide the computing resource for the student's use.

All three main cloud providers have an education-oriented version.

Use student program cloud services like AWS, Google, Azure or IBM Cloud to eliminate hardware and network limitation for students.

Use private cloud services through academia-industry partnerships such as Red Hat Academy.

Amazon cloud provider has a free plan helpful to students.",Use cloud provider services with students plans.,agreement between educational institution and internet cloud services,tool / technology,no,5,aws; cloud; planning; educational; computing resource; tool; technology; automation; organization,"Amazon sometimes has some agreements, which I think now that the Federal Institute is doing, that it makes this student accounts available that they could test it for a period.

Most of these tools have free layers, in the case of Cloud providers. All three of the main ones have an education-oriented version, and that is very good. This for the teacher is a very great facilitator.

I recommend [...] Moving all teaching to a cloud. [...] contact AWS. They have a student program, or Google, with Ali Baba, Azure, and IBM Cloud.

There were times when I combined a set of free services to be used, Heroku. I combined some free services to run these things. I already had a partnership to use closed [...] there is Red Hat Academy, right, where you can use OpenShift and everything else in the context of the effort you want to make. So, this kind of thing helps a lot.

They have a real experience with respect to Amazon, it's pretty simple, and you can get a free Amazon, you just have to register.  Cloud service companies such as AWS, through a contract with an educational institution, can provide the computing resource for the student's use.

All three main cloud providers have an education-oriented version.

Use student program cloud services like AWS, Google, Azure or IBM Cloud to eliminate hardware and network limitation for students.

Use private cloud services through academia-industry partnerships such as Red Hat Academy.

Amazon cloud provider has a free plan helpful to students. Use cloud provider services with students plans. aws; cloud; planning; educational; computing resource; tool; technology; automation; organization"
2,"Set up scenarios that they can run on their computer.

Sometimes give up certain things you would like to teach [...] to the detriment of the student not having the ability to perform.

Solutions that the student can run on his computer. [...] adapt to something perhaps with less computational demand.","Build scenarios that students can run on their own computer.

Give up teaching content that the student cannot run on their machine.

Take advantage of the student's own computational resource and adapt to something that requires less computational demand.",Build scenarios that students can run on their own computer.,setting up scenarios on the student's computer,environment setup,no,1,scenario; example; computing resource; environment; sample; setup,"Set up scenarios that they can run on their computer.

Sometimes give up certain things you would like to teach [...] to the detriment of the student not having the ability to perform.

Solutions that the student can run on his computer. [...] adapt to something perhaps with less computational demand. Build scenarios that students can run on their own computer.

Give up teaching content that the student cannot run on their machine.

Take advantage of the student's own computational resource and adapt to something that requires less computational demand. Build scenarios that students can run on their own computer. scenario; example; computing resource; environment; sample; setup"
4,This was somehow harmonized.,Define what are the devops concepts.,,No definition of DevOps concepts,devops concepts,yes,1,concept; theory,This was somehow harmonized. Define what are the devops concepts.  concept; theory
5,"You can't evaluate with proof; you have to assess with projects with some activity.

With some practical activity.

Taking a test, simply evaluating him, is even a way of doing this, but in this more practical approach, I believe that the student is better prepared and we are able to evaluate, in fact, the most important aspects of his education [.. .] If he is really acquiring that knowledge, what we really wanted to convey in that particular topic, in that particular subject.

We have adopted project-based assessment a lot [...] the assessment of this project puts a student in his context to test in practice or simulate, in practice, a little of what he saw during classes.

From a practical point of view, I simply pass on the exercise.

I think that proof would not be a nice deal, but it would be more or less certification from AWS, for example, from Azure, Google, and that is not the purpose. [...] Taking the test, written, open, I do not like it, I do not like the test model as an assessment, I do not think it is cool, I prefer to work with more practical things.

You propose a practical challenge to solve a problem. I think the students end up learning more.","You can't assess students' DevOps learning with a test, it's necessary to assess with projects, with some kind of hands-on activity.

DevOps teaching with practical activities.

Prefer practical assessments to written tests in order to verify student learning on the subject.

Prefer assessment based on practical projects.

Evaluate through practical exercises.

The assessment must be practical.

Evaluate through practical challenges.",The assess should be with hands-on activity.,Assessment of learning with practical projects and activities.,assessment,yes,5,hands-on; lab; project; practice; activity; exercise; assessment; task; mission; evaluation,"You can't evaluate with proof; you have to assess with projects with some activity.

With some practical activity.

Taking a test, simply evaluating him, is even a way of doing this, but in this more practical approach, I believe that the student is better prepared and we are able to evaluate, in fact, the most important aspects of his education [.. .] If he is really acquiring that knowledge, what we really wanted to convey in that particular topic, in that particular subject.

We have adopted project-based assessment a lot [...] the assessment of this project puts a student in his context to test in practice or simulate, in practice, a little of what he saw during classes.

From a practical point of view, I simply pass on the exercise.

I think that proof would not be a nice deal, but it would be more or less certification from AWS, for example, from Azure, Google, and that is not the purpose. [...] Taking the test, written, open, I do not like it, I do not like the test model as an assessment, I do not think it is cool, I prefer to work with more practical things.

You propose a practical challenge to solve a problem. I think the students end up learning more. You can't assess students' DevOps learning with a test, it's necessary to assess with projects, with some kind of hands-on activity.

DevOps teaching with practical activities.

Prefer practical assessments to written tests in order to verify student learning on the subject.

Prefer assessment based on practical projects.

Evaluate through practical exercises.

The assessment must be practical.

Evaluate through practical challenges. The assess should be with hands-on activity. hands-on; lab; project; practice; activity; exercise; assessment; task; mission; evaluation"
7,I think a potential candidate is GNS3.,The GNS3 tool is a potential candidate as a tool for teaching DevOps.,,GNS3 as a DevOps Teaching Support Tool,tool / technology,yes,1,gns3; tool; technology; automation,I think a potential candidate is GNS3. The GNS3 tool is a potential candidate as a tool for teaching DevOps.  gns3; tool; technology; automation
8,"All the DevOps tooling behind it like [...] the ansible or terraform here, or any of those other flavors of automation and deployment and stuff like that you can use.",Ansible as deployment automation tools can be used in teaching DevOps.,,"Use of Ansible, Terraform as a tool during DevOps teaching",tool / technology,yes,1,ansible; deployment; automation; terraform; iac; infrastructure as code; tool; technology,"All the DevOps tooling behind it like [...] the ansible or terraform here, or any of those other flavors of automation and deployment and stuff like that you can use. Ansible as deployment automation tools can be used in teaching DevOps.  ansible; deployment; automation; terraform; iac; infrastructure as code; tool; technology"
9,"For me, the approach, from the point of view of the teaching method, would be based on projects and practical activities throughout the course.

It will always be project-based.

Being able to evaluate the actions has to be a script of practical actions that the student has to carry out, and you will evaluate while that student is doing that there.

So, I think it's more fruitful, didactically, pedagogically, teaching in this way, with the most practical approach.

Development classes [...] want to understand better the issue of DevOps related to continuous delivery processes or how it translates into practice and into delivery tools and models that streamline application building.

Teach DevOps [...] how it applies in practice.

I cannot see a discipline, a DevOps teaching that is not hands-on [...] That is not getting hands-on and making people at least exercise the tools.

There is much technology on the market [...] you cannot cover everything, right? However, at the same time, just giving the concept, I do not think it is enough. So you have to make a choice. I will teach this here.

It needed to be some practical project [...] Not to be just in the theory part.

You cannot teach DevOps only in theory. You have to experience it. You have to have practical experimentation for that.

Build this entire journey based on practical, incremental activities or missions that are all correlated so that the lessons learned during these practical activities and revisiting the theory of knowledge can flow into a project that involves a set of decision-making, which also in addition to the subjects theoretically covered in the room.

I've tried to be very incremental. Um, first teach the value of tests, then write the script to build everything on your desk. You don't need any you're alone. ... Then break it down into several components and build them one by one, then put an Artifactory in the middle. So you have the dependency. ... So you can imagine that each people in the group is like a different team in the world.","Incremental teaching method based on projects and practical activities.

DevOps teaching should be project-based.

Create script for practical devops activities.

Use a practical approach.

Teach continuous delivery in a more practical context for development classes, using tools and delivery models.

Teach devops in a practical way by applying it.

DevOps disciplines should use hands-on activities.

Teaching must be practical, not just theoretical.

Teaching needs a practical project, not just theoretical teaching.

Teaching devops should be practical, not just theoretical.

Build an incremental teaching journey based on activities and missions, always combining practical activities with theoretical knowledge.

Try to be very incremental. Everything on your desk first. Splits into several components. Build them one by one. Start working in group.",Teaching method based on practical activities.,Incremental teaching based on projects and practical activities.,strategies in course execution,no,7,practice; activity; exercise; project; teaching method; theory; mission; incremental; continuous delivery; hands-on; group; task; mission; cd; concept; gradual; technique; strategy; execution; continuous deployment,"For me, the approach, from the point of view of the teaching method, would be based on projects and practical activities throughout the course.

It will always be project-based.

Being able to evaluate the actions has to be a script of practical actions that the student has to carry out, and you will evaluate while that student is doing that there.

So, I think it's more fruitful, didactically, pedagogically, teaching in this way, with the most practical approach.

Development classes [...] want to understand better the issue of DevOps related to continuous delivery processes or how it translates into practice and into delivery tools and models that streamline application building.

Teach DevOps [...] how it applies in practice.

I cannot see a discipline, a DevOps teaching that is not hands-on [...] That is not getting hands-on and making people at least exercise the tools.

There is much technology on the market [...] you cannot cover everything, right? However, at the same time, just giving the concept, I do not think it is enough. So you have to make a choice. I will teach this here.

It needed to be some practical project [...] Not to be just in the theory part.

You cannot teach DevOps only in theory. You have to experience it. You have to have practical experimentation for that.

Build this entire journey based on practical, incremental activities or missions that are all correlated so that the lessons learned during these practical activities and revisiting the theory of knowledge can flow into a project that involves a set of decision-making, which also in addition to the subjects theoretically covered in the room.

I've tried to be very incremental. Um, first teach the value of tests, then write the script to build everything on your desk. You don't need any you're alone. ... Then break it down into several components and build them one by one, then put an Artifactory in the middle. So you have the dependency. ... So you can imagine that each people in the group is like a different team in the world. Incremental teaching method based on projects and practical activities.

DevOps teaching should be project-based.

Create script for practical devops activities.

Use a practical approach.

Teach continuous delivery in a more practical context for development classes, using tools and delivery models.

Teach devops in a practical way by applying it.

DevOps disciplines should use hands-on activities.

Teaching must be practical, not just theoretical.

Teaching needs a practical project, not just theoretical teaching.

Teaching devops should be practical, not just theoretical.

Build an incremental teaching journey based on activities and missions, always combining practical activities with theoretical knowledge.

Try to be very incremental. Everything on your desk first. Splits into several components. Build them one by one. Start working in group. Teaching method based on practical activities. practice; activity; exercise; project; teaching method; theory; mission; incremental; continuous delivery; hands-on; group; task; mission; cd; concept; gradual; technique; strategy; execution; continuous deployment"
10,"The practice that should occupy eighty percent of the class there, at least.

The practical discipline has a balance between concept and practice, with the practice being the most important.

The concepts need to be objectively presented, but there is not much discussion about.

My classes are about an hour lecture. And then the other hour and a half is lab it's hands-on, you know, I give them a concept, let's go do it. And by doing it, that's where it really sticks.

First year I did a lot of concept on the whiteboard, um, and then went to exercise for the students to practice. It's not efficient.

That's why we build a class where we have a ratio of about one hour of classroom concept teaching on the whiteboard or something at three hours where they actually type on the keyboard of practical session. I think that's important. Otherwise they don't see it. 

So all of us, we covered a bit in really in the course, but also the, I mean, the lectures, but also they practice that in the lab.","The practical part must occupy at least 80% of the class.

Balance the presentation of the concepts and the practicals.

Do not delve so deeply into discussions about the theoretical part of devops.

Teach each DevOps concept using one hour lecture followed by one hour and a half lab hands-on.

Is not efficient to have more theoretical part than practice part during the course.

One hour of classrom concept teaching and three hours of practical session.

Make use of labs and lectures.",Focus more on the practical part compared to the theoretical part of DevOps.,Non-deep theory class.,strategies in course execution,yes,4,theory; practice; concept; discussion; lecture; lab; hands-on; theory; conversation; strategy; execution,"The practice that should occupy eighty percent of the class there, at least.

The practical discipline has a balance between concept and practice, with the practice being the most important.

The concepts need to be objectively presented, but there is not much discussion about.

My classes are about an hour lecture. And then the other hour and a half is lab it's hands-on, you know, I give them a concept, let's go do it. And by doing it, that's where it really sticks.

First year I did a lot of concept on the whiteboard, um, and then went to exercise for the students to practice. It's not efficient.

That's why we build a class where we have a ratio of about one hour of classroom concept teaching on the whiteboard or something at three hours where they actually type on the keyboard of practical session. I think that's important. Otherwise they don't see it. 

So all of us, we covered a bit in really in the course, but also the, I mean, the lectures, but also they practice that in the lab. The practical part must occupy at least 80% of the class.

Balance the presentation of the concepts and the practicals.

Do not delve so deeply into discussions about the theoretical part of devops.

Teach each DevOps concept using one hour lecture followed by one hour and a half lab hands-on.

Is not efficient to have more theoretical part than practice part during the course.

One hour of classrom concept teaching and three hours of practical session.

Make use of labs and lectures. Focus more on the practical part compared to the theoretical part of DevOps. theory; practice; concept; discussion; lecture; lab; hands-on; theory; conversation; strategy; execution"
11,"The strategy we used was to divide the workload in half, divide the workload in half [...] and occupy half of this workload with content that is more suited to the area of networks [...] And half of this with the one with content that has more aptitude for the programming area.

I believe that for DevOps, you have this balance [...] if you go to a course, that the focus is more development [...] Taking students there to see the other side [...] See Ops and the guys over there from Ops when you can have the opportunity to see more of the Dev too.","Divide the workload of subjects that are related to networking and programming.

Seeking balance in teaching development and operation.",Divide the workload of subjects that are related to networking and programming.,Division between Dev and Ops disciplines.,curriculum,yes,2,subject; network; programming; operation; development; workload; curriculum; syllabus; schedule,"The strategy we used was to divide the workload in half, divide the workload in half [...] and occupy half of this workload with content that is more suited to the area of networks [...] And half of this with the one with content that has more aptitude for the programming area.

I believe that for DevOps, you have this balance [...] if you go to a course, that the focus is more development [...] Taking students there to see the other side [...] See Ops and the guys over there from Ops when you can have the opportunity to see more of the Dev too. Divide the workload of subjects that are related to networking and programming.

Seeking balance in teaching development and operation. Divide the workload of subjects that are related to networking and programming. subject; network; programming; operation; development; workload; curriculum; syllabus; schedule"
12,"I had to delegate this responsibility to the student.

When you do not have resources in the structure you are linked to, as an institution, you have to delegate that the student really finds his ways.","Delegating the responsibility for finding adequate infrastructure for the student when it is not possible to obtain the necessary resources from the institution.

Delegate responsibility to the student.",Delegate the responsibility for finding adequate infrastructure for the student.,resources from the student's side instead of academy,environment setup,no,1,delegation; infrastructure; computing resource; institution; university; student; environment; academy; setup; support,"I had to delegate this responsibility to the student.

When you do not have resources in the structure you are linked to, as an institution, you have to delegate that the student really finds his ways. Delegating the responsibility for finding adequate infrastructure for the student when it is not possible to obtain the necessary resources from the institution.

Delegate responsibility to the student. Delegate the responsibility for finding adequate infrastructure for the student. delegation; infrastructure; computing resource; institution; university; student; environment; academy; setup; support"
