Interview,Recommendation,Interview Quotes,Abstracts
1,1,"Amazon sometimes has some agreements, which I think now that the Federal Institute is doing, that it makes this student accounts available that they could test it for a period.","Cloud service companies such as AWS, through a contract with an educational institution, can provide the computing resource for the student's use."
3,1,"Most of these tools have free layers, in the case of Cloud providers. All three of the main ones have an education-oriented version, and that is very good. This for the teacher is a very great facilitator.",All three main cloud providers have an education-oriented version.
4,1,"I recommend [...] Moving all teaching to a cloud. [...] contact AWS. They have a student program, or Google, with Ali Baba, Azure, and IBM Cloud.","Use student program cloud services like AWS, Google, Azure or IBM Cloud to eliminate hardware and network limitation for students."
7,1,"There were times when I combined a set of free services to be used, Heroku. I combined some free services to run these things. I already had a partnership to use closed [...] there is Red Hat Academy, right, where you can use OpenShift and everything else in the context of the effort you want to make. So, this kind of thing helps a lot.",Use private cloud services through academia-industry partnerships such as Red Hat Academy.
12,1,"They have a real experience with respect to Amazon, it's pretty simple, and you can get a free Amazon, you just have to register. ",Amazon cloud provider has a free plan helpful to students.
1,2,"Set up scenarios that they can run on their computer.

Sometimes give up certain things you would like to teach [...] to the detriment of the student not having the ability to perform.

Solutions that the student can run on his computer. [...] adapt to something perhaps with less computational demand.","Build scenarios that students can run on their own computer.

Give up teaching content that the student cannot run on their machine.

Take advantage of the student's own computational resource and adapt to something that requires less computational demand."
1,4,This was somehow harmonized.,Define what are the devops concepts.
1,5,"You can't evaluate with proof; you have to assess with projects with some activity.

With some practical activity.","You can't assess students' DevOps learning with a test, it's necessary to assess with projects, with some kind of hands-on activity.

DevOps teaching with practical activities."
2,5,"Taking a test, simply evaluating him, is even a way of doing this, but in this more practical approach, I believe that the student is better prepared and we are able to evaluate, in fact, the most important aspects of his education [.. .] If he is really acquiring that knowledge, what we really wanted to convey in that particular topic, in that particular subject.",Prefer practical assessments to written tests in order to verify student learning on the subject.
3,5,"We have adopted project-based assessment a lot [...] the assessment of this project puts a student in his context to test in practice or simulate, in practice, a little of what he saw during classes.",Prefer assessment based on practical projects.
